Original Repo ID,Average Fork Lifespan (days),Fork Count,Forks >= 10,Contributions >= 10,Contributions < 10,Developers,Common Contributions,Forks - Contributions >= 10 - Developers,PR Count,PR Commits Count,Stars >= 10 PRs Count,Stars >= 10 and Unique Commits PRs Count,Stars >= 10 PRs Commits Count,Stars >= 10 and Unique Commits PRs Commits Count,Accepted PR avg lifetime per origin,Stars >= 10 and Unique Commits PR Accepted PR avg lifetime per origin,Forks Unique Commits Count + PR Commits Count,Fork's unique commits,Fork's commits from PR over all unique commits proportion
axboe/fio,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
grbl/grbl,3415.73,2208,17,10,0,17,10,0,22,218,14,14,111,111,0.31,0.31,693,475,18.94%
RMerl/asuswrt-merlin.ng,373.23,710,0,0,0,0,0,0,2,2,0,0,0,0,,,2,0,#DIV/0!
RPISEC/MBE,0,897,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
Airblader/i3,1379.44,270,2,1,0,2,1,0,3,20,1,1,17,17,,,59,39,30.36%
espeak-ng/espeak-ng,3252.2,1112,2,0,0,1,0,1,19,54,0,0,0,0,,,79,25,0.00%
libfuse/libfuse,0,1223,0,0,0,0,0,0,82,142,0,0,0,0,,,142,0,#DIV/0!
jagt/clumsy,2079.95,544,1,1,0,0,0,0,2,10,1,0,8,0,376.02,,10,0,#DIV/0!
palera1n/palera1n,1091.43,699,2,1,0,2,1,0,17,192,2,2,50,50,,,707,515,8.85%
uber/h3,0,540,0,0,0,0,0,0,87,224,0,0,0,0,,,224,0,#DIV/0!
lmarzen/esp32-weather-epd,0,417,0,0,0,0,0,0,4,8,0,0,0,0,,,8,0,#DIV/0!
GNOME/gimp,2798.97,835,2,0,0,2,0,0,1,1,0,0,0,0,,,1527,1526,0.00%
libusb/libusb,3869.03,1915,1,1,0,1,1,0,6,15,1,1,1,1,,,22,7,12.50%
nesbox/TIC-80,1740.87,562,3,2,0,3,2,0,44,149,10,10,23,23,0.66,0.66,188,39,37.10%
guanzhi/GmSSL,2186.61,1720,2,1,0,2,1,0,80,205,1,1,30,30,,,331,126,19.23%
edenhill/kcat,0,487,0,0,0,0,0,0,3,8,0,0,0,0,,,8,0,#DIV/0!
dokan-dev/dokany,0,699,0,0,0,0,0,0,7,12,0,0,0,0,,,12,0,#DIV/0!
OISF/suricata,2555.53,1579,2,1,0,2,1,0,1773,10506,778,778,3927,3927,1.65,1.65,16000,5494,41.68%
mackron/miniaudio,0,495,0,0,0,0,0,0,2,15,0,0,0,0,,,15,0,#DIV/0!
bytecodealliance/wasm-micro-runtime,0,729,0,0,0,0,0,0,305,1713,0,0,0,0,,,1713,0,#DIV/0!
mozilla/mozjpeg,3828.72,446,1,1,0,1,1,0,31,197,27,27,164,164,15.49,15.49,216,19,89.62%
karlstav/cava,1716.85,264,3,2,0,3,2,0,13,65,12,12,64,64,4.57,4.57,176,111,36.57%
MrGlockenspiel/activate-linux,0,117,0,0,0,0,0,0,2,4,0,0,0,0,,,4,0,#DIV/0!
Meituan-Dianping/SQLAdvisor,1778.8,1219,1,0,0,1,0,0,0,0,0,0,0,0,,,22,22,0.00%
nginx/unit,0,379,0,0,0,0,0,0,29,58,0,0,0,0,,,58,0,#DIV/0!
FeralInteractive/gamemode,0,212,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
xufuji456/FFmpegAndroid,1.48,1343,1,0,0,0,0,1,0,0,0,0,0,0,,,0,0,#DIV/0!
kbengine/kbengine,2561.16,2367,4,2,0,4,2,0,7,70,6,6,40,40,0,0,577,507,7.31%
arthenica/ffmpeg-kit,595.07,1975,5,1,0,4,1,1,58,286,1,1,30,30,,,407,121,19.87%
RIOT-OS/RIOT,2816.36,1908,2,2,0,2,2,0,683,2605,626,626,2308,2308,39.67,39.67,5452,2847,44.77%
tinyproxy/tinyproxy,0,748,0,0,0,0,0,0,2,33,0,0,0,0,,,33,0,#DIV/0!
sabrogden/Ditto,949.55,322,1,1,0,1,1,0,58,167,1,1,1,1,23.18,23.18,171,4,20.00%
ZipArchive/ZipArchive,4151.43,1257,3,0,0,2,0,1,76,150,0,0,0,0,,,182,32,0.00%
justinfrankel/licecap,0,467,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
id-Software/Quake,3947.9,957,5,0,0,4,0,1,0,0,0,0,0,0,,,322,322,0.00%
memononen/nanovg,3084.29,731,4,1,0,4,1,0,2,15,2,2,15,15,20.25,20.25,261,246,5.75%
tianocore/edk2,2487.66,2653,10,4,0,10,4,0,375,1007,207,207,661,661,0.1,0.1,5986,4979,11.72%
TelegramMessenger/MTProxy,2540.83,971,2,1,0,2,1,0,2,3,2,2,3,3,,,108,105,2.78%
baidu/dperf,1368.97,549,1,1,0,1,1,0,165,204,162,162,201,201,0,0,248,44,82.04%
rainmeter/rainmeter,0,609,0,0,0,0,0,0,10,10,0,0,0,0,,,10,0,#DIV/0!
eradman/entr,0,122,0,0,0,0,0,0,9,9,0,0,0,0,,,9,0,#DIV/0!
kornelski/pngquant,0,500,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
SecWiki/linux-kernel-exploits,0,1678,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
gnif/LookingGlass,1874.28,292,1,0,0,1,0,0,16,23,0,0,0,0,,,35,12,0.00%
mruby/mruby,3922.79,801,4,2,0,3,2,1,267,449,114,114,174,174,0.47,0.47,3035,2586,6.30%
CameraKit/camerakit-android,0,851,0,0,0,0,0,0,43,241,0,0,0,0,,,241,0,#DIV/0!
swiftlang/swift-corelibs-foundation,0,1148,0,0,0,0,0,0,162,308,0,0,0,0,,,308,0,#DIV/0!
antirez/sds,2796.85,514,2,1,0,2,1,0,1,1,1,1,1,1,,,120,119,0.83%
facebook/fishhook,401.2,971,2,0,0,2,0,0,9,14,0,0,0,0,,,27,13,0.00%
TsudaKageyu/minhook,3471.31,949,2,2,0,2,2,0,9,26,9,9,26,26,0.05,0.05,51,25,50.98%
andmarti1424/sc-im,0,220,0,0,0,0,0,0,4,15,0,0,0,0,,,15,0,#DIV/0!
cjdelisle/cjdns,3786.75,576,1,1,0,1,1,0,13,164,9,9,80,80,1.23,1.23,193,29,73.39%
pervognsen/bitwise,0,232,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
dunst-project/dunst,2143.06,368,2,1,0,2,1,0,11,80,3,3,6,6,49.97,49.97,102,22,21.43%
remzi-arpacidusseau/ostep-projects,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
jedisct1/dsvpn,0,409,0,0,0,0,0,0,3,3,0,0,0,0,,,3,0,#DIV/0!
mjolnirapp/mjolnir,0,133,0,0,0,0,0,0,2,2,0,0,0,0,,,2,0,#DIV/0!
rxi/microui,1150.75,332,2,0,0,2,0,0,0,0,0,0,0,0,,,7,7,0.00%
containers/bubblewrap,0,269,0,0,0,0,0,0,3,17,0,0,0,0,,,17,0,#DIV/0!
LuaJIT/LuaJIT,2552.47,972,11,8,0,11,8,0,69,285,68,68,261,261,,,6800,6515,3.85%
zeldaret/oot,0,639,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
LongSoft/UEFITool,2963.1,701,4,0,0,4,0,0,18,56,0,0,0,0,,,249,193,0.00%
seL4/seL4,838.04,715,1,0,0,1,0,0,244,517,0,0,0,0,,,592,75,0.00%
P-H-C/phc-winner-argon2,0,442,0,0,0,0,0,0,7,41,0,0,0,0,,,41,0,#DIV/0!
xiph/rnnoise,2145.06,851,4,1,0,4,1,0,2,40,2,2,40,40,,,145,105,27.59%
visit1985/mdp,0,260,0,0,0,0,0,0,4,9,0,0,0,0,,,9,0,#DIV/0!
aleksey-hoffman/sigma-file-manager,0,202,0,0,0,0,0,0,1,1,0,0,0,0,,,1,0,#DIV/0!
DualCoder/vgpu_unlock,1612.47,457,1,0,0,1,0,0,0,0,0,0,0,0,,,1,1,0.00%
clibs/clib,0,306,0,0,0,0,0,0,58,223,0,0,0,0,,,223,0,#DIV/0!
facebookincubator/katran,0,535,0,0,0,0,0,0,7,37,0,0,0,0,,,37,0,#DIV/0!
b4winckler/macvim,3753.26,331,7,3,0,4,3,3,11,126,10,10,97,97,11.24,11.24,13481,13355,0.72%
mpc-hc/mpc-hc,3519.96,1376,4,3,0,4,3,0,34,211,25,25,144,144,21.49,21.49,3119,2908,4.72%
martin-ger/esp_wifi_repeater,2166.59,928,2,0,0,1,0,1,1,12,0,0,0,0,,,13,1,0.00%
gluster/glusterfs,3482.44,1077,1,0,0,0,0,1,15,218,0,0,0,0,,,218,0,#DIV/0!
warmcat/libwebsockets,0,1541,0,0,0,0,0,0,8,138,0,0,0,0,,,138,0,#DIV/0!
vmg/redcarpet,4446.83,528,2,2,0,1,1,0,59,121,3,2,31,30,0.1,,203,82,26.79%
nanopb/nanopb,0,949,0,0,0,0,0,0,13,23,0,0,0,0,,,23,0,#DIV/0!
ptitSeb/box64,0,387,0,0,0,0,0,0,17,183,0,0,0,0,,,183,0,#DIV/0!
tboox/tbox,0,794,0,0,0,0,0,0,19,180,0,0,0,0,,,180,0,#DIV/0!
easychen/pushdeer,1416.63,499,1,0,0,0,0,1,1,1,0,0,0,0,,,1,0,#DIV/0!
yrutschle/sslh,0,398,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
google/pebble,308.76,302,2,0,0,2,0,0,1,1,0,0,0,0,,,1508,1507,0.00%
lxc/lxc,1322.05,1126,2,1,0,2,1,0,18,49,7,7,9,9,29.54,29.54,176,127,6.62%
XProger/OpenLara,1316.91,373,3,0,0,3,0,0,1,1,0,0,0,0,,,594,593,0.00%
RfidResearchGroup/proxmark3,1841.06,1212,4,4,0,2,2,0,36,191,6,4,20,14,1.6,0.28,231,40,25.93%
hengyoush/kyanos,0,221,0,0,0,0,0,0,189,442,0,0,0,0,,,442,0,#DIV/0!
ossec/ossec-hids,0,1059,0,0,0,0,0,0,20,136,0,0,0,0,,,136,0,#DIV/0!
CloverHackyColor/CloverBootloader,0,668,0,0,0,0,0,0,11,49,0,0,0,0,,,49,0,#DIV/0!
jpmens/jo,0,171,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
RandyGaul/cute_headers,0,341,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
begeekmyfriend/yasea,0,1330,0,0,0,0,0,0,1,30,0,0,0,0,,,30,0,#DIV/0!
ThrowTheSwitch/Unity,0,1136,0,0,0,0,0,0,16,55,0,0,0,0,,,55,0,#DIV/0!
abishekvashok/cmatrix,565.88,463,1,0,0,1,0,0,12,74,0,0,0,0,,,92,18,0.00%
coreutils/coreutils,3109.58,982,1,0,0,1,0,0,1,30,0,0,0,0,,,53,23,0.00%
nbs-system/naxsi,0,624,0,0,0,0,0,0,32,182,0,0,0,0,,,182,0,#DIV/0!
stlink-org/stlink,3207.71,1259,1,1,0,1,1,0,41,294,8,8,42,42,0.11,0.11,298,4,91.30%
koute/bytehound,0,198,0,0,0,0,0,0,17,17,0,0,0,0,,,17,0,#DIV/0!
LiteOS/LiteOS,0,1585,0,0,0,0,0,0,48,638,0,0,0,0,,,638,0,#DIV/0!
flatpak/flatpak,373.23,470,0,0,0,0,0,0,256,509,0,0,0,0,,,509,0,#DIV/0!
google/wuffs,0,156,0,0,0,0,0,0,1,1,0,0,0,0,,,1,0,#DIV/0!
3proxy/3proxy,0,940,0,0,0,0,0,0,2,60,0,0,0,0,,,60,0,#DIV/0!
microshow/RxFFmpeg,0,772,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
kokke/tiny-AES-c,3038.53,1369,2,1,0,2,1,0,4,17,4,4,17,17,0.07,0.07,28,11,60.71%
openvenues/libpostal,0,453,0,0,0,0,0,0,46,199,0,0,0,0,,,199,0,#DIV/0!
session-replay-tools/tcpcopy,3957.06,912,1,0,0,0,0,1,2,60,0,0,0,0,,,60,0,#DIV/0!
portapack-mayhem/mayhem-firmware,913.24,785,4,4,0,4,4,0,212,1107,114,114,501,501,0.84,0.84,1713,606,45.26%
aws/s2n-tls,0,763,0,0,0,0,0,0,284,1419,0,0,0,0,,,1419,0,#DIV/0!
binbyu/Reader,0,606,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
matz/streem,0,255,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
yshui/picom,1627.31,320,8,6,1,8,6,0,166,789,28,28,196,196,53.34,54.75,1267,478,29.08%
c3lang/c3c,316.98,312,1,1,0,1,1,0,450,647,12,12,28,28,0.71,0.71,650,3,90.32%
rvaiya/keyd,0,225,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
microsoft/ProcMon-for-Linux,0,295,0,0,0,0,0,0,15,50,0,0,0,0,,,50,0,#DIV/0!
ARMmbed/mbed-os,1419.95,2820,7,4,0,4,4,3,513,5035,49,49,391,391,23.4,23.4,7845,2810,12.21%
Qihoo360/Atlas,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
alibaba/AliOS-Things,0,1141,0,0,0,0,0,0,134,357,0,0,0,0,,,357,0,#DIV/0!
u-boot/u-boot,2144.56,3122,25,0,0,25,0,0,10,16,0,0,0,0,,,28426,28410,0.00%
attractivechaos/klib,0,631,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
troydhanson/uthash,0,1010,0,0,0,0,0,0,3,4,0,0,0,0,,,4,0,#DIV/0!
microsoft/msquic,0,676,0,0,0,0,0,0,3735,13351,0,0,0,0,,,13351,0,#DIV/0!
giltene/wrk2,2168.19,372,1,1,0,1,1,0,3,19,1,1,14,14,,,90,71,16.47%
raysan5/raygui,0,358,0,0,0,0,0,0,2,9,0,0,0,0,,,9,0,#DIV/0!
PufferAI/PufferLib,126.22,321,1,1,0,1,1,0,59,568,9,9,60,60,,,1596,1028,5.51%
ExpressLRS/ExpressLRS,1299.04,1164,4,4,0,4,4,0,605,2750,54,54,146,146,6.64,6.64,3837,1087,11.84%
snesrev/zelda3,902.85,361,4,1,0,3,0,0,13,32,10,0,29,0,0.08,,84,52,0.00%
tectonic-typesetting/tectonic,2615.36,175,1,1,0,1,1,0,284,389,3,3,36,36,5.94,5.94,1786,1397,2.51%
raspberrypi/pico-sdk,1340.05,1125,1,0,0,1,0,0,468,1038,0,0,0,0,,,1070,32,0.00%
marcobambini/gravity,0,241,0,0,0,0,0,0,2,2,0,0,0,0,,,2,0,#DIV/0!
coolwanglu/vim.js,0,319,0,0,0,0,0,0,2,19,0,0,0,0,,,19,0,#DIV/0!
taviso/loadlibrary,2060.11,390,2,1,0,2,1,0,5,41,5,5,41,41,377.66,377.66,78,37,52.56%
laruence/yaf,0,1419,0,0,0,0,0,0,2,5,0,0,0,0,,,5,0,#DIV/0!
RamonUnch/AltSnap,0,134,0,0,0,0,0,0,172,322,0,0,0,0,,,322,0,#DIV/0!
opa334/Dopamine,820.7,500,6,4,0,6,4,0,23,129,21,21,126,126,3.56,3.56,4723,4594,2.67%
martanne/vis,0,276,0,0,0,0,0,0,1,30,0,0,0,0,,,30,0,#DIV/0!
plasma-umass/coz,0,168,0,0,0,0,0,0,16,58,0,0,0,0,,,58,0,#DIV/0!
dvorka/hstr,0,244,0,0,0,0,0,0,8,56,0,0,0,0,,,56,0,#DIV/0!
nanomsg/nng,1592.91,531,1,1,0,1,1,0,646,1361,9,9,93,93,25.46,25.46,1899,538,14.74%
open-sdr/openwifi,1682.49,733,2,1,0,1,1,1,38,290,6,6,19,19,0.15,0.15,294,4,82.61%
Bodmer/TFT_eSPI,915.1,1225,3,1,0,3,1,0,20,91,1,1,2,2,,,347,256,0.78%
firmianay/CTF-All-In-One,1973.9,690,2,0,0,1,0,1,1,1,0,0,0,0,,,2,1,0.00%
jdah/minecraft-weekend,0,481,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
zpoint/CPython-Internals,652.1,459,2,1,0,0,0,1,2,3,1,0,1,0,0.02,,3,0,#DIV/0!
acassen/keepalived,0,745,0,0,0,0,0,0,5,14,0,0,0,0,,,14,0,#DIV/0!
signalwire/freeswitch,2071.12,1596,3,3,0,3,3,0,479,658,19,19,63,63,106.38,106.38,1060,402,13.55%
F5OEO/rpitx,1764.49,573,1,1,0,1,1,0,1,4,1,1,4,4,1119.84,1119.84,10,6,40.00%
Dav1dde/glad,0,493,0,0,0,0,0,0,2,14,0,0,0,0,,,14,0,#DIV/0!
cilium/tetragon,0,494,0,0,0,0,0,0,2977,6176,0,0,0,0,,,6176,0,#DIV/0!
TheWover/donut,976.03,707,2,1,0,2,1,0,15,163,5,5,41,41,292.75,292.75,169,6,87.23%
lotabout/write-a-C-interpreter,3136.27,745,1,0,0,1,0,0,1,1,0,0,0,0,,,22,21,0.00%
google/security-research,261.79,525,1,1,0,1,1,0,48,110,3,3,18,18,103.39,103.39,128,18,50.00%
lc-soft/LCUI,0,425,0,0,0,0,0,0,45,356,0,0,0,0,,,356,0,#DIV/0!
iqiyi/xHook,0,798,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
jakehilborn/displayplacer,0,155,0,0,0,0,0,0,6,40,0,0,0,0,,,40,0,#DIV/0!
gnea/grbl,2391.65,1468,8,3,0,8,3,0,4,23,4,4,23,23,,,374,351,6.15%
canonical/dqlite,0,241,0,0,0,0,0,0,187,516,0,0,0,0,,,516,0,#DIV/0!
dankamongmen/notcurses,0,144,0,0,0,0,0,0,526,3703,0,0,0,0,,,3703,0,#DIV/0!
armink/EasyLogger,0,1274,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
HarbourMasters/Shipwright,996.53,554,4,2,0,4,2,0,386,1625,288,288,908,908,14.43,14.43,2187,562,61.77%
ntop/nDPI,3680.08,880,1,1,0,1,1,0,81,233,43,43,52,52,6.7,6.7,928,695,6.96%
gali8/Tesseract-OCR-iOS,2723.86,878,2,1,0,1,0,0,6,34,1,0,30,0,,,42,8,0.00%
riscv-collab/riscv-gnu-toolchain,2425.1,1232,4,3,0,4,3,0,203,306,5,5,11,11,458.93,458.93,1409,1103,0.99%
xroche/httrack,893.37,737,1,0,0,1,0,0,1,16,0,0,0,0,,,71,55,0.00%
cmusphinx/pocketsphinx,0,728,0,0,0,0,0,0,92,398,0,0,0,0,,,398,0,#DIV/0!
Netflix/dynomite,3194.94,537,1,1,0,1,1,0,184,676,9,9,31,31,1.48,1.48,714,38,44.93%
nalgeon/sqlean,0,143,0,0,0,0,0,0,3,55,0,0,0,0,,,55,0,#DIV/0!
ading2210/linuxpdf,0,166,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
cpq/bare-metal-programming-guide,0,376,0,0,0,0,0,0,8,8,0,0,0,0,,,8,0,#DIV/0!
cloudius-systems/osv,0,590,0,0,0,0,0,0,4,8,0,0,0,0,,,8,0,#DIV/0!
albfan/miraclecast,3031.66,429,1,1,0,1,1,0,30,84,9,9,50,50,5.35,5.35,86,2,96.15%
BruceDevices/firmware,374.53,1233,3,3,0,3,3,0,112,564,105,105,537,537,0.4,0.4,1061,497,51.93%
isec-tugraz/meltdown,0,527,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
Facico/Chinese-Vicuna,0,419,0,0,0,0,0,0,5,8,0,0,0,0,,,8,0,#DIV/0!
cnlohr/rawdrawandroid,996.24,255,1,1,0,1,1,0,15,46,1,1,1,1,,,47,1,50.00%
y123456yz/reading-code-of-nginx-1.9.2,2006.7,1196,1,0,0,0,0,1,0,0,0,0,0,0,,,0,0,#DIV/0!
skeeto/w64devkit,0,327,0,0,0,0,0,0,4,10,0,0,0,0,,,10,0,#DIV/0!
F-Stack/f-stack,0,951,0,0,0,0,0,0,5,5,0,0,0,0,,,5,0,#DIV/0!
openrazer/openrazer,0,568,0,0,0,0,0,0,49,176,0,0,0,0,,,176,0,#DIV/0!
antirez/linenoise,3898.92,582,5,1,0,5,1,0,1,2,1,1,2,2,,,333,331,0.60%
kohler/gifsicle,0,244,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
NixOS/patchelf,0,512,0,0,0,0,0,0,102,209,0,0,0,0,,,209,0,#DIV/0!
janet-lang/janet,0,252,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
libjpeg-turbo/libjpeg-turbo,0,1075,0,0,0,0,0,0,3,62,0,0,0,0,,,62,0,#DIV/0!
Mzzopublic/C,0,1729,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
NLnetLabs/unbound,0,422,0,0,0,0,0,0,117,930,0,0,0,0,,,930,0,#DIV/0!
samyk/magspoof,2752.14,590,4,1,0,3,1,1,1,3,1,1,3,3,,,15,12,20.00%
v4l2loopback/v4l2loopback,0,566,0,0,0,0,0,0,6,117,0,0,0,0,,,117,0,#DIV/0!
lakinduakash/linux-wifi-hotspot,0,368,0,0,0,0,0,0,56,230,0,0,0,0,,,230,0,#DIV/0!
geohot/qira,0,516,0,0,0,0,0,0,11,102,0,0,0,0,,,102,0,#DIV/0!
tanersener/mobile-ffmpeg,0,875,0,0,0,0,0,0,25,286,0,0,0,0,,,286,0,#DIV/0!
huntergregal/mimipenguin,0,654,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
tmk/tmk_keyboard,2857.99,1290,13,8,1,13,8,0,29,271,16,16,103,103,10.31,10.31,1162,891,10.36%
apache/age,230.97,447,1,1,0,1,1,0,9,45,1,1,1,1,,,46,1,50.00%
foobnix/LibreraReader,0,377,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
RsyncProject/rsync,0,477,0,0,0,0,0,0,6,51,0,0,0,0,,,51,0,#DIV/0!
zsh-users/zsh,2336.17,517,1,0,0,1,0,0,1,1,0,0,0,0,,,17,16,0.00%
google/AFL,763.59,652,1,0,0,1,0,0,13,25,0,0,0,0,,,43,18,0.00%
varnishcache/varnish-cache,0,405,0,0,0,0,0,0,19,107,0,0,0,0,,,107,0,#DIV/0!
OnionUI/Onion,758.61,299,1,0,0,1,0,0,204,1535,0,0,0,0,,,1674,139,0.00%
libffi/libffi,4192.52,700,5,3,0,5,3,0,26,100,22,22,70,70,97.4,97.4,352,252,21.74%
icholy/ttygif,0,257,0,0,0,0,0,0,1,8,0,0,0,0,,,8,0,#DIV/0!
zyantific/zydis,2378.66,480,1,0,0,1,0,0,98,242,0,0,0,0,,,243,1,0.00%
jetkvm/kvm,235.54,245,2,1,0,2,1,0,290,804,7,7,34,34,27.02,27.02,1115,311,9.86%
dekuNukem/daytripper,2179.01,182,1,0,0,0,0,1,1,1,0,0,0,0,,,1,0,#DIV/0!
DPDK/dpdk,1797.79,1359,2,0,0,2,0,0,3,32,0,0,0,0,,,355,323,0.00%
zserge/jsmn,0.01,755,1,0,0,0,0,1,1,12,0,0,0,0,,,12,0,#DIV/0!
Gnucash/gnucash,0,883,0,0,0,0,0,0,5,118,0,0,0,0,,,118,0,#DIV/0!
remzi-arpacidusseau/ostep-code,0,1480,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
philippe44/AirConnect,2.9,238,1,0,0,0,0,1,0,0,0,0,0,0,,,0,0,#DIV/0!
webui-dev/webui,0,258,0,0,0,0,0,0,24,60,0,0,0,0,,,60,0,#DIV/0!
zhaojh329/rtty,2966.14,535,1,0,0,1,0,0,1,1,0,0,0,0,,,19,18,0.00%
hpjansson/chafa,0,84,0,0,0,0,0,0,2,37,0,0,0,0,,,37,0,#DIV/0!
westes/flex,0,617,0,0,0,0,0,0,67,70,0,0,0,0,,,70,0,#DIV/0!
ufrisk/MemProcFS,0,498,0,0,0,0,0,0,2,3,0,0,0,0,,,3,0,#DIV/0!
blinker-iot/blinker-esp-idf,0,19,0,0,0,0,0,0,6,38,0,0,0,0,,,38,0,#DIV/0!
orioledb/orioledb,0,152,0,0,0,0,0,0,104,236,0,0,0,0,,,236,0,#DIV/0!
cboxdoerfer/fsearch,0,246,0,0,0,0,0,0,1,8,0,0,0,0,,,8,0,#DIV/0!
fw876/helloworld,462.73,2598,2,1,0,2,1,0,102,117,3,3,4,4,1.88,1.88,145,28,12.50%
X11Libre/xserver,0,198,0,0,0,0,0,0,973,1301,0,0,0,0,,,1301,0,#DIV/0!
iqiyi/xCrash,0,648,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
ming1016/study,0,770,0,0,0,0,0,0,18,18,0,0,0,0,,,18,0,#DIV/0!
86Box/86Box,1632.56,434,2,2,0,2,2,0,687,1794,14,14,113,113,0.21,0.21,4872,3078,3.54%
blinker-iot/blinker-nRF52,0,4,0,0,0,0,0,0,1,4,0,0,0,0,,,4,0,#DIV/0!
p2r3/bareiron,0,188,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
FRRouting/frr,3278.13,1379,1,1,0,1,1,0,4703,10137,2272,2272,6308,6308,7.01,7.01,13750,3613,63.58%
BasedHardware/OpenGlass,401.99,515,1,0,0,1,0,0,7,11,0,0,0,0,,,74,63,0.00%
stephane/libmodbus,2309.12,1822,3,2,0,3,2,0,8,49,5,5,18,18,1.12,1.12,103,54,25.00%
a0rtega/pafish,0,505,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
samyk/pwnat,0,504,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
jorisvink/kore,0,330,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
apache/httpd,0,1221,0,0,0,0,0,0,5,123,0,0,0,0,,,123,0,#DIV/0!
acidanthera/Lilu,1677.93,447,1,0,0,0,0,1,10,48,0,0,0,0,,,48,0,#DIV/0!
eunomia-bpf/bpf-developer-tutorial,676,533,1,0,0,1,0,0,33,156,0,0,0,0,,,159,3,0.00%
iNavFlight/inav,2411.84,1657,1,1,4,1,1,0,2422,7216,1,1,30,30,6.82,,7617,401,6.96%
openvswitch/ovs,1386.32,1891,4,1,0,2,1,2,22,475,2,2,20,20,,,1268,793,2.46%
rfjakob/earlyoom,0,189,0,0,0,0,0,0,3,3,0,0,0,0,,,3,0,#DIV/0!
kangjianwei/Data-Structure,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
moby/hyperkit,0,365,0,0,0,0,0,0,3,36,0,0,0,0,,,36,0,#DIV/0!
fastos/fastsocket,0,718,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,#DIV/0!
armory3d/armortools,1236.82,390,1,0,0,1,0,0,3,27,0,0,0,0,,,34,7,0.00%
rmtheis/tess-two,2193.27,1306,1,1,0,1,1,0,4,15,3,3,9,9,5.75,5.75,37,22,29.03%
Chikage0o0/Linux-NetSpeed,1914.49,1661,4,2,0,4,2,0,2,35,2,2,35,35,1.68,1.68,404,369,8.66%
fwupd/fwupd,0,534,0,0,0,0,0,0,5930,11773,0,0,0,0,,,11773,0,#DIV/0!
pgbouncer/pgbouncer,1410.67,505,2,0,0,2,0,0,18,33,0,0,0,0,,,127,94,0.00%
OpenKinect/libfreenect,2711.44,1072,5,5,0,4,4,0,57,221,45,28,145,122,2.67,2.79,339,118,50.83%
ptitSeb/box86,0,251,0,0,0,0,0,0,3,39,0,0,0,0,,,39,0,#DIV/0!
contiki-os/contiki,2719.3,2167,9,5,0,7,5,2,321,800,308,308,792,792,6.09,6.09,9853,9053,8.04%
sypstraw/rpi4-osdev,0,271,0,0,0,0,0,0,2,11,0,0,0,0,,,11,0,#DIV/0!
wine-mirror/wine,2319.5,1073,14,2,0,14,2,0,3,65,2,2,35,35,,,24083,24018,0.15%
